query,tweet,label
1,1284195217936125952,0
1,1291316430479200256,1
1,1288834428584828930,1
1,1288851829548134400,1
1,1285264104480034818,1
1,1281791621508616192,1
1,1286541741651161088,1
1,1291798277222993923,0
2,1291807809688961025,1
2,1281545693069533184,1
2,1281728921541763072,0
2,1281681579719356417,0
2,1286855819233910784,1
2,1285873015788572673,1
2,1284531088950517760,1
2,1281655659369553921,0
3,1284940130424217600,1
3,1281109256448737280,1
3,1291006794186326016,0
3,1281086979942354946,1
3,1283426491666247681,1
3,1283451468490711040,1
3,1282686473985241091,1
3,1281090946591887361,1
4,1286067546152730628,1
4,1286292071926513671,1
4,1286692487348850688,0
4,1286526178896093185,1
4,1286027010788200448,1
4,1283934408664211456,0
4,1286518889745190912,1
4,1282079045270806531,0
5,1286105808007200768,0
5,1291025446667091969,1
5,1286605626433392640,1
5,1286422456698363904,0
5,1286461069226061824,1
5,1287509723156295680,1
5,1286356672911486983,0
5,1286401707455520769,0
6,1290966793394311169,1
6,1291187787148992512,0
6,1286082666928824320,0
6,1287756136939216896,1
6,1286405819974725632,1
6,1286314377273016320,0
6,1283507568711798791,1
6,1291070980119506947,1
7,1284827607515750405,1
7,1284625738323292160,1
7,1281016746145701889,1
7,1284129507931230210,1
7,1280958530003107842,1
7,1283419951353810944,1
7,1287388344624717824,1
7,1283655733914021889,0
8,1290998633190522881,1
8,1291137956019929088,1
8,1291195805043494915,1
8,1291304856347717633,1
8,1291218982880661504,1
8,1291192476968144901,1
8,1291341867922198530,1
8,1291172815421546507,1
9,1283559686785171458,1
9,1283867405576527873,0
9,1286440087727767552,1
9,1285624254575280128,1
9,1283884161472790530,1
9,1284597624620953605,1
9,1283785708940009473,1
9,1283948732199743488,0
10,1283604657953112064,1
10,1288837595078721536,1
10,1281464039189762048,1
10,1288850599283494912,1
10,1288853454757048320,1
10,1288849937942433792,1
10,1285017299418742789,1
10,1288836388406747136,1
11,1285298591951663104,1
11,1285990455369498624,0
11,1281056845042507778,1
11,1280965804339736577,1
11,1280963945046605825,1
11,1286368735511678977,0
11,1280939535518576640,1
11,1291802705644736512,1
12,1281638817016020995,0
12,1280987813299851265,0
12,1280988133102964741,0
12,1281011558076817410,0
12,1284217743470850050,0
12,1281014650121752576,0
12,1281000276590317568,0
12,1285939570002087936,0
13,1284217854246580224,0
13,1283810841234563072,0
13,1284159465604829190,1
13,1285776250880000001,1
13,1283939361659076608,0
13,1281595200197005313,0
13,1284220331914334210,0
13,1283811651704233984,0
14,1284527506507198464,1
14,1281013156865810432,1
14,1281010380215431168,1
14,1283541301753868288,1
14,1286771869174112257,1
14,1284989366956208128,1
14,1281202689905475584,1
14,1281006944141086720,1
15,1291306329634570245,0
15,1285828550684221441,0
15,1291728286167572482,1
15,1284028470389911554,0
15,1282310379897593856,1
15,1284632684690583552,0
15,1285655367012225024,0
15,1285629180164616195,1
16,1283890882991788033,1
16,1284254738406617088,1
16,1281096376881836035,0
16,1291683822694731776,0
16,1283800535322243073,0
16,1284217825654181889,1
16,1284210147057979399,1
16,1280982559367876609,1
17,1287151321624256515,1
17,1282283657047277568,1
17,1285751110964322305,1
17,1283797221465522176,1
17,1284686186334818304,1
17,1284645773225988096,1
17,1284868768687173634,1
17,1281773031988367361,1
18,1285613378770272256,1
18,1286418009364496386,1
18,1287057190348402688,1
