query,tweet,label
1,1.29132E+18,1
1,1.28596E+18,0
1,1.28171E+18,1
1,1.28419E+18,1
1,1.28884E+18,1
1,1.28215E+18,0
1,1.28117E+18,1
1,1.28885E+18,1
2,1.28115E+18,0
2,1.28165E+18,1
2,1.28105E+18,0
2,1.2904E+18,1
2,1.28427E+18,1
2,1.28575E+18,1
2,1.29115E+18,0
2,1.28416E+18,0
3,1.28119E+18,1
3,1.28505E+18,0
3,1.28258E+18,1
3,1.28123E+18,1
3,1.281E+18,1
3,1.28401E+18,0
3,1.28665E+18,1
3,1.28104E+18,1
4,1.28659E+18,1
4,1.28527E+18,1
4,1.28223E+18,0
4,1.28611E+18,1
4,1.28629E+18,0
4,1.2861E+18,1
4,1.28662E+18,1
4,1.28669E+18,0
5,1.2817E+18,0
5,1.28573E+18,0
5,1.28646E+18,0
5,1.29179E+18,1
5,1.28371E+18,1
5,1.28625E+18,1
5,1.29042E+18,0
5,1.2867E+18,1
6,1.29165E+18,1
6,1.29042E+18,0
6,1.28636E+18,1
6,1.2913E+18,1
6,1.28357E+18,1
6,1.29106E+18,1
6,1.28775E+18,0
6,1.29111E+18,1
7,1.2872E+18,0
7,1.29177E+18,0
7,1.28696E+18,1
7,1.2846E+18,1
7,1.28455E+18,1
7,1.28106E+18,1
7,1.28153E+18,1
7,1.28235E+18,1
8,1.28591E+18,1
8,1.29119E+18,1
8,1.29126E+18,1
8,1.29118E+18,1
8,1.29115E+18,1
8,1.29115E+18,1
8,1.2912E+18,1
8,1.2913E+18,1
9,1.28425E+18,1
9,1.29063E+18,1
9,1.2857E+18,1
9,1.2867E+18,1
9,1.28255E+18,1
9,1.28352E+18,0
9,1.28449E+18,1
9,1.28662E+18,1
10,1.28387E+18,1
10,1.28156E+18,1
10,1.28884E+18,0
10,1.28636E+18,0
10,1.28884E+18,0
10,1.28883E+18,0
10,1.28884E+18,0
10,1.28884E+18,1
11,1.28111E+18,1
11,1.28095E+18,1
11,1.28759E+18,1
11,1.28106E+18,1
11,1.28653E+18,0
11,1.28606E+18,1
11,1.28599E+18,0
11,1.28598E+18,0
12,1.28099E+18,0
12,1.28747E+18,1
12,1.28105E+18,0
12,1.28164E+18,0
12,1.28166E+18,1
12,1.28357E+18,1
12,1.28098E+18,0
12,1.28097E+18,0
13,1.28422E+18,0
13,1.28379E+18,0
13,1.28602E+18,1
13,1.28506E+18,0
13,1.29063E+18,0
13,1.28561E+18,0
13,1.28777E+18,0
13,1.28381E+18,0
14,1.28216E+18,1
14,1.28101E+18,1
14,1.28559E+18,1
14,1.28426E+18,1
14,1.28413E+18,1
14,1.28101E+18,1
14,1.28097E+18,1
14,1.28111E+18,1
15,1.28503E+18,1
15,1.28155E+18,1
15,1.28481E+18,1
15,1.28602E+18,0
15,1.28563E+18,1
15,1.29173E+18,1
15,1.28671E+18,0
15,1.2911E+18,0
16,1.28527E+18,1
16,1.28463E+18,1
16,1.28256E+18,1
16,1.28423E+18,1
16,1.28425E+18,1
16,1.28885E+18,0
16,1.28157E+18,1
16,1.28422E+18,1
17,1.28171E+18,0
17,1.28695E+18,1
17,1.28422E+18,0
17,1.28164E+18,1
17,1.28569E+18,1
17,1.28186E+18,0
17,1.28163E+18,1
17,1.28176E+18,1
18,1.28159E+18,1
18,1.28579E+18,1
18,1.28585E+18,1
18,1.28449E+18,1
18,1.28666E+18,1
18,1.28253E+18,1
18,1.28427E+18,1
18,1.28098E+18,1
19,1.2852E+18,0
19,1.28647E+18,1
19,1.28148E+18,0
19,1.28367E+18,0
19,1.28574E+18,0
19,1.2837E+18,0
19,1.28631E+18,1
19,1.28632E+18,0
20,1.28725E+18,0
